"mes";"dia";"dsem";"ptot";"pcd0";"pnin";"pbus";"inte";"meia";"grat"
9;9;3;1193617;379164;1105509;1105460;956084;214234;23299
9;10;4;1190453;373081;1100297;1101758;951327;215960;23166
9;11;5;1173870;367002;1084741;1085400;938513;213183;22174
9;12;6;1158814;373342;1072153;1070028;934070;203523;21221
9;13;7;821987;307371;775161;749395;693320;115918;12749
9;14;1;472797;216016;456312;438635;403833;59811;9153
9;15;2;1198223;395428;1112087;1112194;959382;215795;23046
9;16;3;1192103;381138;1103649;1123562;950195;219758;22150
9;17;4;1187770;376749;1098325;1104829;944566;220551;22653
9;18;5;1144784;362289;1058848;1064606;913112;211091;20581
9;19;6;1146509;375993;1061107;1068261;921915;204418;20176
9;20;7;814575;311459;768411;748719;684346;118023;12206
9;21;1;480772;227455;464237;445277;409148;62625;8999
9;22;2;1173243;398395;1088893;1089162;931940;219480;21823
9;23;3;1168114;387607;1081393;1082875;921416;224170;22528
9;24;4;1165829;386243;1078020;1081431;918607;224605;22617
9;25;5;1163124;390015;1075735;1077951;916592;224297;22235
9;26;6;1148172;403376;1064447;1064112;912843;213270;22059
9;27;7;800905;325163;756491;738094;667416;121030;12459
9;28;1;460866;226733;445483;428536;391654;60219;8993
9;29;2;1172506;417900;1090084;1087276;925944;222912;23650
9;30;3;1177250;404915;1091813;1097797;927978;225465;23807
10;1;4;1190326;385013;1102387;1112900;943640;223218;23468
10;2;5;1174305;365726;1086886;1098833;934917;216822;22566
10;3;6;1155064;366319;1070821;1082317;931353;202553;21158
10;4;7;800927;293097;756994;749033;677337;111328;12262
10;5;1;581471;269258;554291;551050;506475;63683;11313
10;6;2;1171243;374956;1088368;1098554;937642;210941;22660
10;7;3;1208261;377554;1118906;1130306;961515;222362;24384
10;8;4;1209345;374109;1119256;1130753;961177;224551;23617
10;9;5;1198976;367146;1107652;1121894;952209;224589;22178
10;10;6;1190858;376530;1102841;1114443;956286;213078;21494
10;11;7;863584;315547;816246;804067;724381;126415;12788
10;12;1;530043;238675;512703;499389;451218;69637;9188
10;13;2;1184370;384842;1099568;1111303;944191;217864;22315
10;14;3;1173664;365886;1084802;1101262;928657;225566;19441
10;15;4;1091070;357220;1008123;1021622;907503;164410;19157
10;16;5;1167825;359133;1078055;1095753;925110;222839;19876
10;17;6;1152626;366454;1065693;1083296;925019;208925;18682
10;18;7;837347;313743;791361;784134;702455;123509;11383
10;19;1;481434;220109;464556;451628;408896;64454;8084
10;20;2;996694;315420;924802;932992;778180;201251;17263
10;21;3;1191411;380752;1102349;1117327;938696;230601;22114
10;22;4;1169029;367341;1078685;1097583;920190;227417;21422
10;23;5;1145981;360960;1057861;1075951;903090;222421;20470
10;24;6;1124746;370585;1039528;1056298;899828;205805;19113
10;25;7;747791;292231;704246;697898;629266;107622;10903
10;26;1;580595;284246;551018;546614;499553;69329;11713
10;27;2;1057341;372483;981266;992391;854890;184810;17641
10;28;3;1113241;380170;1028935;1044124;884324;207691;21226
10;29;4;1158693;392367;1071518;1085767;903871;232031;22791
10;30;5;1152864;388433;1066000;1081147;900702;230105;22057
10;31;6;1167335;400668;1082207;1090627;929281;216758;21296
11;1;7;831473;313776;785453;773650;695758;123052;12663
11;2;1;483182;220781;466802;455823;413457;61029;8696
11;3;2;1204110;390945;1118368;1132772;955348;224972;23790
11;4;3;1194315;370695;1105162;1123316;942198;228654;23463
11;5;4;1202060;370354;1111305;1126788;950002;228407;23651
11;6;5;1182834;361268;1092597;1103421;936822;222718;23294
11;7;6;1192166;378262;1101331;1114950;956266;212647;23253
11;8;7;883831;317398;834372;827195;733761;137068;13002
11;9;1;556699;230173;536823;524766;455380;92701;8618
11;10;2;1189001;381050;1100828;1119412;949075;216420;23506
11;11;3;1188281;363652;1096751;1113049;935825;229406;23050
11;12;4;1182073;359507;1089561;1105697;928312;231419;22342
11;13;5;1179134;360228;1087558;1103238;927280;230090;21764
11;14;6;1176459;374839;1087443;1098850;936278;220000;20181
11;15;7;623883;248764;594351;580512;525109;88567;10207
11;16;1;510898;234216;493819;478884;428446;73469;8983
11;17;2;1187307;384311;1100268;1112226;936015;229297;21995
11;18;3;1177514;366133;1087738;1103069;920964;233997;22553
11;19;4;1164817;361827;1074682;1091996;910940;231654;22223
11;20;5;1161148;363333;1070898;1086199;909224;230332;21592
11;21;6;1145358;372388;1058757;1070870;906460;218655;20243
11;22;7;844987;322005;797644;786009;699624;133167;12196
11;23;1;484009;227584;467044;454335;405479;69625;8905
11;24;2;1161731;394617;1076458;1087761;912892;226331;22508
11;25;3;1160271;386457;1071987;1084194;905751;231056;23464
11;26;4;1161194;390390;1072920;1086667;906740;231842;22612
11;27;5;1144104;393922;1058034;1068683;896015;225784;22305
11;28;6;1235396;449711;1150435;1151928;982211;229500;23685
11;29;7;890043;355186;843183;829120;738639;138241;13163
11;30;1;816292;245739;781470;767005;651882;145761;18649
12;1;2;1214884;410797;1129432;1136014;966483;223475;24926
12;2;3;1196850;388389;1109468;1117130;951127;221027;24696
12;3;4;1191847;380976;1103494;1116429;950666;217487;23694
12;4;5;1171933;370418;1084915;1095081;938179;210748;23006
12;5;6;1195069;388539;1107918;1116846;964432;207289;23348
12;6;7;915817;343141;866614;854613;767200;135204;13413
12;7;1;568668;258859;549713;535728;480044;79665;8959
12;8;2;1198482;401842;1113594;1124173;967818;207475;23189
12;9;3;1176491;376719;1088148;1106479;945904;208255;22332
12;10;4;1181981;377569;1092799;1106859;950271;208854;22856
12;11;5;1154026;370347;1067280;1078387;931063;201557;21406
12;12;6;1155815;381766;1070611;1083050;937606;196981;21228
12;13;7;914798;351358;866415;856071;765616;135369;13813
12;14;1;575730;266812;556573;543193;484107;82706;8917
12;15;2;1153091;400144;1072337;1078565;939151;191938;22002
12;16;3;1132086;384005;1049489;1070087;923850;187114;21122
12;17;4;1148812;393673;1065144;1087347;938800;188794;21218
12;18;5;1128044;392057;1046336;1057531;925340;182018;20686
12;19;6;1131851;409001;1052777;1063680;934145;177716;19990
12;20;7;929184;384076;883093;871916;785441;130656;13087
12;21;1;623972;307611;605223;590913;532167;82864;8941
12;22;2;1146879;449293;1073848;1076579;955336;170939;20604
12;23;3;1115249;439581;1044065;1045222;934260;161444;19545
12;24;4;797505;340154;752602;748857;687650;97386;12469
12;25;5;315421;156440;306104;302147;270338;39692;5391
12;26;6;832918;341146;780500;780747;711065;106473;15380
12;27;7;716367;306616;678415;671412;612750;92703;10914
12;28;1;480399;242021;464894;453779;410894;61137;8368
12;29;2;970098;393372;908278;910829;822915;128216;18967
12;30;3;977369;398833;914607;916100;831622;126107;19640
12;31;4;742556;334210;704443;700143;646800;84931;10825
